,text,Label
28, accha ji agar koi raji ho jaye toh aap kabol karoge usse batao phir hum kisi se baat aage badaye bolo ji,1
29,   Gajab chpa hainWo udhar Jake kidnap ho gaye to aap jaoge negotiate karnenKabhi kachra phekne ke alawa bhi balcony se bahar dekh lijiye,1
30,  Ziek,0
31, धोखेबाज और अय्यार केजरीवाल का कोई ईमान धर्म नहीं है।  बस गंदगी और रायता फैलाना इसका काम है। दिल्ली तो लंदन बन गई होगी httpstcoxu6iB7ZVX6,0
32,AAPnnNew Insider Filing on ADVANCE AUTO PARTS INCsnnEVP Supply ChainnnREUBEN E SLONEnnhttpstcoL1TLeTMQWt,0
33, Very bad service no support i called many times for my money transferred reverse but they are not given 1 reply to baal ka 247 h or cll centre v koi support nhi de raha call utha ke Ye rakh de raha ye log apne aap ko Bhagwan samajh raha h,1
34, Wah WahMere Dil ki baat likh di aap ne to,1
35, Gobar ko khaane se aur mooth pinay se insaan Insaaniyat aur Akhlaaq bhool jaata hai yeh baat aap yaad rakhein…,1
36,    No need now,0
37,  Admins aur aap 5 baje tak soye nahi ya uth gaye,1
38,   In SHA ALLAH aap Hassan ko Bhool jao gy Naseem shah wh Karna kry ga,1
39,   guys ye kya bitching bitching khel rhe ho aap maddy slapping what is all this,1
40,  Ok bro toh aap ka naam kya h Us se sambhodan kar leta hu Instead of,1
41,   Aap log na fazul ki attention de daina isko This is another PR stunt of his,1
42,  Ye Kab ka description dere aap Namo aur baithi jun kya hai,1
43,Around 500000 people across NSW have been ordered to evacuate or prepare to flee as a rain bomb heads for Sydney the Hunter and the Central CoastnnLatest via  httpstco4aZQhYFIhbnn   httpstco0DfI5TNKcj,0
44, अगर अभी नवीन की जगह इमरान होता तो गिरगिट ने 1करोड़ का चैक थमा दिया होता ,0
45, Reena ji aap kya job karte ho ji,1
46, Madam chay me kefin hota hai jo aap ke brain  ke liye ghatak hai Our ek baat usaka Asar bhi dikhana shuru ho gaya hai,1
47,reply ‘Aap bhi’ Scenes outsides a Bandra restaurant as Alaya F stepped out after dinner FOLLOW – Hotness Everywhere  Instagram xa0Voompla httpstcoaET5ub2ALt,0
48, Deshhit me ek kaam kiya he aap ko party se nikala he Itna kafi he,1
49, Agar aap negative comments padh ke pareshan he so more than 50 are fake account he 20 Pakistani he or baki desh ke khilaf Wale log he,1
50, Phir finally bhuto b dafan ho hi jayega Jiski hadiyan b gaib ho gyi  lekin in bewaqoof so called musalman n kam aqal awam ko samjh ni ani Jo in zardario n shareefon k pichy apni akhrat b kharaab kar rahi hai Woh sirf apna ilaaj Londn krwayein gy aap ka nahi,1
51, Bhai aap sotey kab hain,1
52,Hlw bhai dil me to aap ho lekin girlfriend kehta he mujhe bhi dil me rakho kese AskSrk ,1
53,      Good job,0
54,       Aise amanwiya tatva har party me hote hai nBut aap log aise logo ko support na kare jo mahila ka apaman kare nChahe ho kisi bhi party ka ho nAise log kisi ke nahi hote aaj kisi aur ko bol rahe hai Kal kisi aur ko bolenge,1
55, Aaj bhi koi late night shootrecordingmeetings hain kya Kitnay hours so rahay hain Aap u200d,1
56,  Verschrikkelijk bescherm de dieren tegen de beesten ,0
57, OMGDeepika jiaap thik ho gye thanks GodnnGod bless younnGod se bahut dua Kiya apke liye,0
58,shesshhh an AAP god player  thanksss puuueee lt3 httpstcoG1Q4FnNREJ,1
59, Sweet atankwaadi ka naara desh ke tukde karo hazara PM ban jau tumhara,0
60,SP se ho aap Mai bina dekhe bol saktii hu Aapko aise naam pasand ayenge Ragho mai daudata khoon bolta hai akhirnAapke leader topi pehente hai iss mahaan atma ko pehene ek pic ho toh post karoslime of gutter httpstcoM1G3E1RrVP,1
61,Curated by the  team today Politico NYT AAPnnTexan Republican no match for the exwife of an ISIS commandernnhttpstcoTg8z3EF9e6,0
62,030322 023521 صaApnIstnieć z czekania i miłoścnnhttpstcohO00X1UoKY,0
63, Wah Sweet atankwaadi ke Rishtedaar,0
64, En toch staan ze niet helemaal achter Rusland In de VN veiligheidsraad hebben ze de invasie nog goed of afgekeurd En als je vriendjes bent had je een keuze gemaakt Dat Olympische spelen schijnt een broodje aap te zijn Maar daar zijn de meningen over verdeeld,1
65, Aap toh bhul hi Gaye ,1
66,   Sir yea videos Joo aap sab bana rahe ho ye up election mein kuch kaam nehi ayega,1
67, Hello good morning my friend aap humse Dosti karoge to message karo,1
68, Yogi ji  aap he aap hi aaoge,1
69,Advance Auto Parts Inc current quarter revenue growth YoY of 130 ranked 3025 out of 5708 companies in our database nn httpstcorXi8obulWx AAP,1
70,   Aap bolna HINDU SANSKRITI hai na,1
71, Aap ko pata tha to aap kya kar rahe the pahele batana chiye tha,1
72,     Steve smith ko b kehte hen coaches k pas ja k kaam kry jofra archer ka bouncer sar py q lag gaya tha usky Ajeeb chu admi hen aap,1
73,1 25kg        1AAP  25kg httpstcoxJduRf12Sq     69 httpstcosSfD4QutBR,0
74,   Shaam 5 bajenAap Dangal karne wali hain kya,0
75, admin aap sohte kab ho ,1
76,  Kitna bewakoof banaya aap ko aap bhi jumla pe vishwas kiya,1
77, Hii ji aap ka number bhejo,1
78,       sir kyu ho rha hain asse is it true  I know sir u r the next PM of India  plz solve this case,0
79,        Rat me jb aap mutne ke bad sone ja rahe the tb,1
80,    ji aap dono hi nahi poora Bharat Desh behkaawe mein aa gaya thaPublic ki innocence ke saath bahut ganda khel khela gaya tha,1
81, Itna tu pta chal gya hai k aap jese Chutiya logon ki waja sa dono countries ma hate phailti werna log itnay buray nhi hain ,1
82, Hum aap ke sath baba ji,1
83, Aap jaisa,1
84, ek kaam karo aap hi chale jao lene ke liye Sharam karo aise time pe politics karne ki jagah sarkar ka sath dete shayad 24 votes milte but aap to uske bhi layak nhi ho,1
85,  Propaganda ki rajniti hi aap jaise logo ki khuraak hai “ pata nahi kaun bola ki musalmaano se voting right chhin liya jayega” ye public hai sab jaanti hai,1
86,Another feather on yoar aap obviously httpstcovr3RopaMjk,1
87,Aaj Mumbai me Band stand Area me Mont marry church pr  salman bhai se mulakat hui Aaj bohot khushi hui bhai THANKYOU  aapke kimti 5 mint dene ke liye agr aap ye dekhe to apko yaad aayega mai Faisal iqbal chota sallu  bhopal se ,1
88,Kya Aap tweeter par aayengen,1
89, aap khud,1
90,Bad yehi sab kaam bacha hai aapke paas Sharam kijiye Kabse request kar raha hu dumping ground hai residential area me isko hatane ka kasht kijie please Zinda hai ya nahi aap lognnhttpstcobcus2pQvpO httpstco7XLLPMHRTr,1
91,  I have no idea why Pakistani feminists brings Islam out in everything sister do some research study islam I’m sure you won’t tweet like this if you knew the basic human rights Islam offers I don’t get this new trend Islam kai batai bolnai sai aap cool nae lgtai,1
92,Kya aap soo gae hai nYa abhi b jaag rahe hain,1
93,Nhi aap mari ho httpstcojTHdDn7Fw3 httpstcohaOWImmr9A,1
94,Round 1 to the AAP  Maryland Library Association statement httpstco7bPeu9g0f0,1
95,Nothing tweeter ji bas apne purane dino ko yaad kiya ja raha hai aap batao Tweet Alone batao,1
96, चोर है ये,0
97, Miya aap jaise Anpad log bhai likho to abbu padte hai ,1
98,  Faisal bhai Aap congress ke lye zaroori aap raajneeti na ko tyag kare aage badein,1
99, ब्रह्मांड का इकलौता ईमानदार प्राणी जो अपने बच्चों की झूठी कसम खाता है,0
100,Lol BJP  httpstco8qkT7IyTH0,1
101,பாசிச   இந்தியாவிலிருந்தே முற்றிலும் அழிக்கப்பட வேண்டியவை httpstco4g6fuc2sxw,0
102,Modi n BJP is just another politician they never do anything they only plan on how to win election not for country  this type of coaching should be closed immediately httpstcos6rYwAz8P6,1
103,  PR time for BJPnothing else,0
104,       Nice Its very much important to stand with the party workers and provide them all the necessary help including legal support,0
105,  ,0
106,10मार्च के बाद GDP बढ़ेगी गैस डीजल पेट्रोल सरसों तेल चाहे खुसी में बढ़े या गम में कमर कस के तैयार रहें  n   ,0
107,साक्षात्कार  जेपी नड्डा बोले विपक्ष ‘घातक गठजोड़’ बना पहले चुनाव लड़ता हैफिर हारने पर आपस में लड़ता हैnUPElectionWithAmarUjala VoteKaro election2022 upelection2022    nhttpstcopTAjk0Av9i,0
108, Desh ko aajad Karane me ek bhi kachchadhari ya bhagwadhari NHI tha ye aur na hi desh ke kisi Yuddh me tha to mai kahta hu ki BJP ke dalle hote kon h ye batane vale ki tum Hindu ho ya Musalmanaur desh ko barbad karne vali BJP h sabase badi deshdrohi h BJP aur isake supporters ,1
109, कहाँ मर गए कलमुँहे दंगाई खजपाई  n    ,0
110, Àap bhi apni reporting mein iss principle ko laggu karo Jayda chattukarta acchi nahi hoti  App Adalat se sharu hokar BJP ki kachari mein jaa rehay ho bhai sahib,1
111,               देव भूमि हिमाचल प्रदेश आगमन पर आपका हार्दिक अभिनंदन है।,0
112,కేంద్ర ప్రభుత్వం ఈ రోజు రాజధాని అమరావతిని గుర్తించి నిధులు కేటాయించి నందుకు చాలా సంతోషంగా ఉంది  జగన్మోహన్రెడ్డి వలన  గత మూడు సంవత్సరాల నుంచి రైతులు పడరాని పాట్లు పడుతున్నారు ఈరోజు కొంచెం ఉపశమనం కలిగింది అని కృతజ్ఞతలు తెలియజేశారుnnBuildAmaravatinSaveAndhraPradesh  httpstco78JdR8UZUi,0
113,  Kuch nhi karna ha BJP ko Yadav vote ki jarurat nhi ha baki hog hi kafi ha,1
114,Its important that voices again st Neet started to coming from BJP ruling states They too realise Neet is against Social JusticenBanNeet NeetAgainstPoor NeetAgainstSocialJustice httpstcoU1H7SD2Itr,1
115,   Thanks,0
116,  ஹிந்துக்களின் விரோதி மட்டுமே அல்ல BJP இந்தியாவின் விரோதிகள் BJP,1
117,  ஹிந்துக்களின் விரோதி மட்டுமே அல்ல BJP இந்தியாவின் விரோதிகள் BJP,1
118,  ஹிந்துக்களின் விரோதி மட்டுமே அல்ல BJP இந்தியாவின் விரோதிகள் BJP,1
119,      We Condemned this act of furtivenessnButlemme call out the namesnSiddique KappannKishorechandra WangkhemnPrashant KanojianThe List goes onnThey are the Journalists have been detained by BJP govt for bring out the unseen truth from the ground nHave you ever spoke about them,1
120,  ஹிந்துக்களின் விரோதி மட்டுமே அல்ல BJP இந்தியாவின் விரோதிகள் BJP,1
121, Someone doing PR on BJP government needs to be outrightly ignored The child is doing just thatkudos to her,1
122,  ஹிந்துக்களின் விரோதி மட்டுமே அல்ல BJP இந்தியாவின் விரோதிகள் BJP,1
123,We Condemned this act of furtivenessnButlemme call out the namesnSiddique KappannKishorechandra WangkhemnPrashant KanojianThe List goes onnThey are the Journalists have been detained by BJP govt for bring out the unseen truth from the ground nHave you ever spoke about them httpstcoqC0JXPUucU,1
124,  are taking legal actions against your family But in Police Station 183 they fund Amplifier based Loud Sound tortures which is against the article 21 of the constitution of india amp  Take legal actions to Jail them,0
125,  ஹிந்துக்களின் விரோதி மட்டுமே அல்ல BJP இந்தியாவின் விரோதிகள் BJP,1
126,  ஹிந்துக்களின் விரோதி மட்டுமே அல்ல BJP இந்தியாவின் விரோதிகள் BJP,1
127, ஹிந்துக்களின் விரோதி மட்டுமே அல்ல BJP இந்தியாவின் விரோதிகள் BJP,1
128,Respected LadiesGentlemenfollowers nelection view in UPnParameter10Lakhimpur Kheri Death gamenQ1Who is Gangester Ashish Mishra nQ2What did connection from BJPnQ3How many innocent people killed in Lakhimpur KherinQ4Why did released Gagster Mr Ashsish Mushra polling day,0
129,   Aap bewakuf ho agar aapko ye lagta hai tonpadh likh ke aya karonPata kar le kaun sa AIIMS kab khulanNehru ke time ek khula tha wo bhi Raja Maharaja logo ne khola thanbaki sab BJP ne khole hai,1
130,    So why dont you vote BJP out in the next elections for the mistakes it is doing now Simple And then vote congress out again for they will repeat their mistakes,1
131,   ஹிந்துக்களின் விரோதி மட்டுமே அல்ல BJP இந்தியாவின் விரோதிகள் BJP,1
132,   ஹிந்துக்களின் விரோதி மட்டுமே அல்ல BJP இந்தியாவின் விரோதிகள் BJP,1
133,  सच की जगह झूठ ने ले लिए हैं ।,0
134,   Bjp promotion,1
135, Like I said before Everyone in BJP wants a piece of this PR Cake,1
136,   httpstcoTDKxzAng1U,0
137,Every Telanganite should know that it is not TRS vs BJP or any political party for that matter it is a matter of lakhs of people who want to live in peacennPeople of TS want to grow financially morally etcnnPeacefulTelanganann,1
138,NID National Institute Of Design Amaravati Construction Status  Marc httpstcodQjOaOd7ss via  నేషనల్ ఇన్u200cస్టిట్యూట్ ఆఫ్ డిజైన్ కేంద్ర ప్రభుత్వ సమస్థ అమరావతి లో నిర్మాణం చుడండి BuildAmaravatinSaveAndhraPradesh    ,0
139,ప్రజా రాజధాని అమరావతి స్వయం ఆధారిత అభివృద్ధి సెల్ఫ్ ఫైనాన్స్ ప్రాజెక్ట్nnరైతులు భూ సమీకరణలో ఇచ్చిన భూమి అందుబాటులో ఉన్న ప్రభుత్వ భూములు అతి తక్కువ సమయంలో అంతర్జాతీయంగా వచ్చిన బ్రాండ్ ఇమేజ్ అమరావతికి పెట్టుబడిnnBuildAmaravati SaveAndhraPradesh Amaravati  httpstcoTcq5gqLnXo,0
140,    ஹிந்துக்களின் விரோதி மட்டுமே அல்ல BJP இந்தியாவின் விரோதிகள் BJP,1
141,   ஹிந்துக்களின் விரோதி மட்டுமே அல்ல BJP இந்தியாவின் விரோதிகள் BJP,1
142, Bjp ke dalal,1
143,VOTE FOR BJP,1
144,  ஹிந்துக்களின் விரோதி மட்டுமே அல்ல BJP இந்தியாவின் விரோதிகள் BJP,1
145,  Abe saale gatar ke Gatar hi rahoge desh ke vikash ke bare mai baat kar na saale tum log to girgit ki tarah honJo satta mai hai usi se gand sata ke rahoge chahe wo BJP PARTY HO YA SAPA,1
146,  ஹிந்துக்களின் விரோதி மட்டுமே அல்ல BJP இந்தியாவின் விரோதிகள் BJP,1
147,   ஹிந்துக்களின் விரோதி மட்டுமே அல்ல BJP இந்தியாவின் விரோதிகள் BJP,1
148,  ஹிந்துக்களின் விரோதி மட்டுமே அல்ல BJP இந்தியாவின் விரோதிகள் BJP,1
149,అమరావతికి బ్రాండ్ ఇమేజ్ పెద్ద వరంnnసింగపూర్  స్టార్టప్ ఏరియా ప్రాజెక్టు లండన్  బాండ్లు విడుదల చేసేందుకు లండన్ స్టాక్ ఎక్చేంజి సంసిద్ధత జపాన్జర్మనీఫ్రాన్స్ బ్రిటన్ చైనా సంస్థల పెట్టుబడులుnnBuildAmaravati SaveAndhraPradesh Amaravati    httpstco4xsNUozXYf,0
150,Scumbags of Telangana n n n n n n n nnn,0
151, BJP rss sarkar hatao,1
152, AbsolutelynnWhile discussing politics I told a DMK worker that in BJP his children could be Ministers CM PM President or anything if they had the ability amp worked hard How high can they go in his family enterprisennHe was stunnednIt had never struck him,1
153,  ஹிந்துக்களின் விரோதி மட்டுமே அல்ல BJP இந்தியாவின் விரோதிகள் BJP,1
154, Ye khada 2017se suru huwa unko cm banana tha lekin bjp ko malum hai unka DNA to congress wala hi hai tab se naraj hai,1
155,  Actors acting     When does this drama stops oh God,0
156, Why this bjp govt playing politics with Indian students at Ukraine India not voted against Russia It reflects on indians at Ukraine,1
157,   ஹிந்துக்களின் விரோதி மட்டுமே அல்ல BJP இந்தியாவின் விரோதிகள் BJP,1
158,Vote for bjp Vote for nation httpstco8Wg9MNeW69,1
159, ,0
160,   ஹிந்துக்களின் விரோதி மட்டுமே அல்ல BJP இந்தியாவின் விரோதிகள் BJP,1
161,Up Election 2022 Some Voters In Purvanchal Leave Behind Their Caste And Vote In Favor Of Government Giving Beneficial Schemes Such Voters Can Prove To Be The Biggest Voters Of Bjp – उत्तर प्रदेश चुनाव छठा चरण केवल जातिवाद ही नहीं बल्कि दूसरे मुद्दे… httpstcoHbIvdSP5vR,1
162,      Jay ho,0
163,BJP MP Gambhir fifth Jan Rasoi to start soon in Delhi He is mentor of Lucknow IPL Franchise  दिल्ली महज 1 रूपये में ‘पेट’ भर रहा ये स्टार क्रिकेटर IPL की लखनऊ टीम से खासxa0रिश्ता httpstcoiu5jCrRKnN,1
164,  BJP का विधायक  था   भाई नीतीश के पार्टी का नहीं,1
165,   ஹிந்துக்களின் விரோதி மட்டுமே அல்ல BJP இந்தியாவின் விரோதிகள் BJP,1
166,    ஹிந்துக்களின் விரோதி மட்டுமே அல்ல BJP இந்தியாவின் விரோதிகள் BJP,1
167,   ஹிந்துக்களின் விரோதி மட்டுமே அல்ல BJP இந்தியாவின் விரோதிகள் BJP,1
168,   ஹிந்துக்களின் விரோதி மட்டுமே அல்ல BJP இந்தியாவின் விரோதிகள் BJP,1
169,   ஹிந்துக்களின் விரோதி மட்டுமே அல்ல BJP இந்தியாவின் விரோதிகள் BJP,1
170, BJP ke dalle apane roti pakane ke liye Hindu Hindu karte h jabaki apani bahan betiyo ki Sadi muslimo se karte h to salo tum Hindu ho KAha aur muslimo se jalte Kyu ho itna Aur tum hote kon ho Hinduo ki bat karne vale apani bahan beti khud jake de rhe ho unako fir jalan Kyu h ,1
171,   Get out of Hate BJP mindset You guys are blinded by hate India is doing its best possible in the current scenario No other country has taken so much effort to evacuate including developed countries,1
172,   ஹிந்துக்களின் விரோதி மட்டுமே அல்ல BJP இந்தியாவின் விரோதிகள் BJP,1
173,Western threat is only of materialism which is harmful only in extreme as one forgets spiritual valuesnBut BJP RSS is the demon which has existed for centuries and leads people to hell and animal birth Atleast the violent aspect should be neutralised,1
174,   ஹிந்துக்களின் விரோதி மட்டுமே அல்ல BJP இந்தியாவின் விரோதிகள் BJP,1
175,      பினந்தின்னிபாஜக,0
176,  ஹிந்துக்களின் விரோதி மட்டுமே அல்ல BJP இந்தியாவின் விரோதிகள் BJP,1
177,West Bengal civic elections BJP scores 0 to ‘introspect’ pollxa0debacle httpstcouUqH9teSGO,1
178,Hari OM Gurudev Datta BJP nSupreme Almighty Godhead Bhagwan Shree Dattatrey bless you all Please vote for Lotus for BJP Hari OM httpstcoOM5EFTD4ND,1
179,Interview  BJP’s growth is a perception created by mediaxa0Anbumani httpstcoBBeiNSZrh3,0
180,Respected LadiesGentlemenfollowers nelection view in UPnHijab crisisstudents dressnQ4Did RSSBjpNDA can decide students dress for Muslim womengirls,0
181,   वोट देना मजाक बात हैइसके लिए बूथ केंद्र पर जाना पड़ता है ,0
182,       जय योगी जी महाराज,0
183,1990 માં કાશ્મીર અંદર  હિન્દુઓની હત્યા થાઈ તાર સરકાર જનતા દળ ને     ની હતીnજેના વડાપ્રધાન વિશ્વનાથ પ્રતાપ સિંહ હતાં ને ગ્રુહ મંત્રી મુક્તિ મોહમ્મદ સઈદ હતા ને  વિપક્ષમાં હતી ને વિપક્ષના નેતા શ્રી રાજીવ ગાંધી હતા nખાસઅંધભગતોમાટે httpstcobNcWdwDSO3,0
184,        Rita shastri जिंदाबाद,0
185,  Har har mahadev,0
186, என்ன முடிக்கு நாங்க அனுப்பனும் பாஜகவுல உள்ளவனுக்கு மட்டும் தானே தேசபக்தி பொங்கி வழியும் என்று பீத்துவீங்கஆம்பளையா இருந்தா போங்க எல்லா பயலுங்களும் நெஞ்ச நிமிர்த்தி போய் காப்பாத்துங்க,0
187,  Har ghar modiYogi ji,0
188,یہ بازی حق کی بازی ہے یہ بازی تم ہی ہارو گے ان شا اللہ ہمارے شہدا کا ہندوستان کو پیغام Endia Bjp,1
189,AUNTY NATIONAL IS IN THE HOUSE AND SHES NOT HOLDING A GAS CYLINDERnnoh waitnBJPहटाओदेशबचायो httpstcoTpRbKfw6Ha,0
190,BJP RSS is the demon which has hijacked hinduism for selfish motivenBJP RSS is the demon which tried to hijack India for same reason nForeign threat is a lesser threat,1
191,पहले हमलाnअब गिरफ्तारीnnदलितोंपिछड़ों पर वार का वोट से मिलेगा जवाबnहर बूथ पर BJP होगी साफ,1
192, Arre let them all return otherwise you and your ilk will say BJP  dikhawa kar rahi hai You have done your two pennies worth tweeting and crying hoarse in Punjab amp UP Apparently you have a lot of clout and Goodwill in Europe why dont you fly down and show BJP how its done,1
193,  Well bjp got 70 seats first time in Bengal since independence,1
194, Yeh bhi BJP ka minister hai httpstcoImEedxAsI5,1
195, For the right price Hindus will sell india oh sorry BJP and RSS is doing is right now,1
196,Repestected LadiesGentlrmenfollowersnview of election in UP parameter10Hijab preplanned agenda created by NDAVHPRSS nQ1Did you know about nwhy did created Hijab crisis in KarnatakanQ2Did it preplanned agenda from BJPnQ3Who did decide dress fot students,0
197, httpstcozw5vRULB96,0
198, In each flight why all bjp ministers going and doing PR drama,1
199,bjp BJP files FIR against its MP Maurya’s kin  India News – Times ofxa0India httpstcoXGYgdY0Ser,1
200,మిత్రలభాలకే కేసీఆర్ ఆరాటం httpstcovnaufDXfAM,0
201,  War klar das diese Tatsache wo es hunderte Videos gibt von den linientreuenregierungsfreundlichen Twitterusern dementiert wird Angelika Baabe Berlin ist nur ein Bsp ihr Regierungstrolle,1
202, Mal als Bsp was kritische Fragen betrifft warum fragen sie auf der BPK eigentlich nicht nach den Rechtsextremen Gruppen die in der ukraine mit deutschen Waffen unterstützt werden Da sie ja selber als rechter dort bezeichnet werden Oder warum man gegen dt Gesetze verstößt,1
203,u3000u3000,0
204, nn,0
205,Check out this listing I just added to my Poshmark closet NWT BSP Blue Mesh Accent Pocket Capri Leggings Color is stock photos httpstcoKNEOhNIXlU shopmycloset ,1
206,BSP dou vimici Just cant with one waiting bench outside your branch nnWoucaaaa  ,1
207,5thTimeBSP httpstcoKIUfm1grDc,0
208,When the smile will come on the faces of the poor youth farmers and unemployed colleagues when honorable sister Kumari  ji will become the Chief Minister of Uttar Pradesh for the fifth timennआ रहा है शासनप्रशासनअनुशासन nn   httpstcog8jen8zJFt,0
209,Kk Ampangan Check BSP,1
210, Ok,0
211,BSP3102315‼nnnnCHEMISTRYamp  NHK httpstcoR26k3ygfI0,0
212,ugh GBSP dies are so expensive i need to cut two new G38 threads on this pump i dont want to spend €24 for that,0
213,బట్టి పాదయాత్ర కమ్మ రెడ్డి కులాలకు భరోసా యాత్రnబట్టి పాదయాత్ర వల్ల బహుజనులకు ఒరిగేది ఏమీ లేదు అంటూ మధిర నియోజకవర్గ incharge మిరియాల నాగరాజు గారు tweet చేశారు httpstco5w8kO8P2H1,0
214, Bsp jindabad,1
215,BSP,1
216, Bsp jindabad,1
217,    Bsp jindabad,1
218,       ,0
219,  Vote for bsp ,1
220, I’m honestly suprised he didn’t demand the school resource officer threaten the kids with finesprison under the state’s anti mask law because he felt “intimidated”,0
221,Tinjau Bansos Pangan Pj Sekda Trenggalek Ingin Pastikan BSP ini Tersalurkan Denganxa0Baik httpstco52QN4Lmi99,1
222, Bsp jindabad,1
223,  Bsp jindabad,1
224, Bsp jindabad,1
225, I just figure I’m going to die at this point Only a matter of time,0
226, बराबर बोला है आप आज भी उतनी ही समस्या है।,0
227, So its a mood,0
228, I play Empire at War an RTS from ‘06,0
229, httpstcoHKVO1GfdJJ,0
230,Amazon MusicSEGAThe whole new world Phantasy Star Online EPISODE 2 OPENING THEME httpstcouTmwqWaMcl,0
231, Ye bramhino ki soch ha to bramhin support kise karta ha aimim sp bsp congress ko,1
232, Stock is up over 1 AH,0
233,अपने जीवन में कभी भी पछतावा न करें nजहाँ अच्छे दिन खुशी और यादें देते हैं nवहीं बुरे दिन अनुभव और सबक देते हैं,0
234, I was happy with the gain,0
235, Been waiting the the cross on QQQs Tomorrow ,0
236,11nQUOLINEnhttpstcoYp9EPKje7Q,0
237, I don’t hate the company or the product just the BSP And thanks to those that listened if they wanted a better buy in they got it,1
238, Figured that out after close ,0
239,    Jay Bhim,0
240, It would be 1000x times worse than Damon and Jacoby to the Yankees,0
241,,0
242,Check out this listing I just added to my Poshmark closet NWT BSP Atomic Jelly Blue compression leggings httpstco0ucynLP4Mk shopmycloset ,1
243, nn,0
244,,0
245, nBSPnnnmiimegn,0
246,10 yr rate moves oil moves and Ukraine can move markets and its important to keep tabs on themnn10year yield sees biggest oneday jump since 2020 as traders ditch safe havens for riskier assetsnnhttpstcoV6SOEjITPa,0
247,  httpstcoBCgT6XbB21,0
248, BSP auch nur so gross wie Spaniens WIrklich mal ganz ernst was macht dieses Land mit der Bombe und einem Sitz im Sicherheitsrat,1
249,दिनवारतियाबीतताहाथीवालाजीतताnVote4BSPnbsppromisedops n5thTimeBSPn22मेंबसपाnबसपालाओउत्तरप्रदेशबचाओnबहनजीहैयूपीकीआस httpstco64d1aJaP4Q,0
250, httpstcoG7NRO1A7Qy,0
251, There are no small victories,0
252,To counter divisive politics of BJP and RSS secularism should be upheld by making alliance with TMC RJD SP BSP RLDTRS DMK and Congress but under TMC leadership httpstcoI0IErEpjZC,1
253,BSPnnnnnnn,0
